intype,insubtype,surreason,outtype,animaltype,sex,bites,petsize,color,breed,mixed,breed2,days_in,in_season,out_season
STRAY,FIELD,STRAY,DISPOSAL,DOG,M,N,LARGE,BLACK / TAN,GERM SHEPHERD,False,NM,5,WINTER,WINTER
LOST,WEB,LOST/FOUND,LOST EXP,DOG,U,U,MED,UNKNOWN,BORDER COLLIE,False,NM,31,WINTER,WINTER
STRAY,OTC,STRAY,ADOPTION,DOG,N,N,MED,BROWN / WHITE,AM PIT BULL TER,False,NM,14,SUMMER,SUMMER
FOSTER,RETURN,STRAY,FOSTER,DOG,S,N,MED,BR BRINDLE,PLOTT HOUND,True,Unknown,0,FALL,FALL
STRAY,OTC,STRAY,SNR,CAT,N,N,SMALL,ORG TABBY,DOMESTIC SH,False,NM,2,SPRING,SPRING
STRAY,FIELD,AGG ANIMAL,ADOPTION,DOG,N,N,MED,BLACK / WHITE,STAFFORDSHIRE,False,NM,46,WINTER,SPRING
STRAY,OTC,STRAY,RTF,CAT,S,N,SMALL,GRAY,DOMESTIC SH,False,NM,0,WINTER,WINTER
STRAY,OTC,STRAY,TRANSFER,DOG,N,N,PUPPY,RED,REDBONE HOUND,True,Unknown,12,SUMMER,SUMMER
STRAY,FIELD,STRAY,DISPOSAL,DOG,U,N,LARGE,BLACK / BROWN,ROTTWEILER,False,NM,2,SUMMER,SUMMER
FOSTER,RETURN,STRAY,ADOPTION,DOG,S,N,MED,BR BRINDLE,PLOTT HOUND,True,Unknown,1,FALL,FALL
